label,text
Fungal infection,at_that_place are like_a_shot ruby-red blotches all over my body where iodine have been itching dreadfully all over. A few of the patches also differ Indiana complexion fromÂ my natural skin. And these lumps operating_theatre bumps have educate on my skin.
Pneumonia,"I've been feeling really drained and cold, and I can't stop coughing. It hurts in my chest when I do, and my heart feels like it's racing. The mucus I'm coughing up is a gross brownish color."
peptic ulcer disease,I have been having bloody stools which has resulted in bloos loss and loss of iron. Thiis has caused me anemia and I feel very weak in general
Jaundice,"I have been suffering from itching, vomiting, and fatigue. single give_birth likewise bewildered free_weight and have a high_gear fever. My pare have_got turned yellow and my urine personify dark. iodine have also cost experiencing abdominal pain"
Migraine,"Together with increased hunger, a sore neck, anxiety, irritation, and visual distortion, I've also been experiencing acid reflux, indigestion, frequent headaches, and impaired eyesight."
Cervical spondylosis,"Back pain, a coughing cough, and spiritlessness atomic_number_49 my arms and wooden_leg have been plaguing me. Hoosier_State addition, my neck_opening hurts, and I've having worry staying balanced and without getting woozy."
diabetes,"I always experience a dry_out cough. My infections don't seem to be healing, and I have palpitations. My throat harm occasionally, but IT serve look to drive better."
Chicken pox,"The high fever, swollen lymph nodes and headache are causing me a lot of trouble. I don't feel like eating anything and feel weak and fatigued. It's hard for me to concentrate on my daily life."
Malaria,"I have a high fever, severe itching, chills, and vomiting. In addition, I've been perspiring a lot and have a headache. I've also been bothered by nausea and muscle ache."
Psoriasis,My skin is selfsame sensitive and reacts easily to changes in temperature or humidity. I oftentimes have to glucinium careful about what products I exercise along my skin.
gastroesophageal reflux disease,"Periodically, the tingling in my throat, poor breath, and bad taste in my mouth make it difficult for me to swallow meals."
Varicose Veins,The prominent stemma vessels on my calve are causing uncomfortableness and embarrassment. I believe the problem is because of my overweight.
Arthritis,I've been feeling really weak in my muscles lately and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.
Chicken pox,I have humble lymph nodes on my arms and face. The itching is making my day very uncomfortable.
Chicken pox,"I've been suffering from severe itching all over my body, along with a fever and headache. The red spots are starting to swell and it is getting really uncomfortable every day."
diabetes,"I constantly have a dry cough. My infections don't seem to be healing, and I have palpitations. My throat hurts occasionally, but it does appear to get better."
Cervical spondylosis,"I've been experiencing back pain, adenine persistent cough, and spiritlessness in my arms and legs. I've been having trouble outride equilibrate and managing my vertigo, and my neck hurts."
urinary tract infection,"I've been having frequent, strong, sudden urges to urinate. I occasionally urinate with blood in it, and the stench is horrible. What ought I to do if I think I'm infected?"
peptic ulcer disease,"My appetite and chronic hunger are both ferocious. My stomach may occasionally ache and spasm. I have gas and bloating after eating, which is really painful."
Acne,"My skin has develop antiophthalmic_factor horrendous heady that is not inherited. It has a lot of blackheads and pus-filled pimples. Furthermore, my skin suffer make_up exceedingly sensitive."
Typhoid,"Diarrhea accept been really watery and foul-smelling, and it's been come_with past abdominal_muscle pain. I tone like vomiting nearly of the time."
Migraine,"I have be survive frequent headaches, blear vision, excessive appetite, angstrom afflictive neck, anxiety, irritability, and digestive difficulties including indigestion and acid reflux."
Psoriasis,"My skin has been peeling, peculiarly along my knees, elbows, and scalp. This peeling is ofttimes accompanied by a burn_up OR stinging sensation."
gastroesophageal reflux disease,"I often wake_up up with a sore throat operating_theater a scratchy voice. My throat wound constantly, and I also have pitiful breath. iodin also frequently burp."
Psoriasis,"I induce noticed that my skin has become more sensitive than it use to be. There constitute a silver like dusting on my skin, especially on my spine and elbows."
Hypertension,"ane ingest been have a headache that smell like a sharp pain inch my temples, on with chest pain and dizziness."
Psoriasis,"The skin on my genitals is red and inflamed. It is oftentimes itchy, burning, and uncomfortable. There are rashes on unlike parts of the body too."
Cervical spondylosis,"I have been dealing with back pain, a cough that won't go away, and weakness in my arms and legs. My neck hurts and I have had problems with dizziness and maintaining my balance."
Common Cold,"My nose is extremely runny, and I can't seem to stop sneezing. Indiana addition, I forever sense cold, exhausted, and I've been coughing a lot. My fever is also really high Former_Armed_Forces above normal."
Varicose Veins,"The veins on my calves bear become selfsame prominent and causing discomfort. I can't stand for long menstruation of time, as it causes pain Hoosier_State my legs, similar to cramps."
Typhoid,"I've had a persistent stomach pain for the past week, and it is not healing even with medication. I feel like vomiting and can't eat anything, and because of which I have become extremely weak."
Acne,"I've latterly shin with a genuinely irritating skin rash. There are blackheads and pus-filled pimples all over it. Additionally, my skin has been scurring a lot."
peptic ulcer disease,"I on_a_regular_basis have trouble swallowing, and I sometimes feel like food is decorous entrap in my throat. ane frequently feel bloat and belch. Every time, I hold a bad aftertaste."
Pneumonia,I can't seem to get enough air and I'm sweating a lot. I don't feel well and there's a lot of phlegm in my throat. My chest hurts and my heart is racing. The mucus I'm coughing up is reddish in color.
Dimorphic Hemorrhoids,I'm having a lot of trouble with constipation and pain while try_on to go to the bathroom. It hurts angstrom_unit lot in my anus and the surface_area approximately it. My stool has been blooming and my anus is really irritated.
Migraine,"I've been grumpy and gloomy lately, and I've also noticed a change in my vision."
Varicose Veins,The blood vessels on my legs are quite visible and give me a lot of pain. They're large and protrude from my skin. It is unusual and I am worried about it.
Varicose Veins,Standing or walking for long periods of time causes a lot of pain in my legs. I get cramps upon doing physical activities. There are bruise marks on my legs too.
Impetigo,"I have also been experiencing flu-like symptoms, such as fever and body pain. I have noticed red rashes and blistering sores near my nose and lips. It's itchy and uncomfortable."
gastroesophageal reflux disease,"I don't feel like eating, and swallowing is challenging. Even after little meals, I frequently get this lingering sensation of fullness. My normal symptoms include nausea, heartburn, and tingling in my throat."
Psoriasis,"My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and IT is frequently uncollectible at night. I'm also experience scrape flaking."
Hypertension,"iodin woke up this morning feeling fine, but as the twenty-four_hours went on, I started have a headache, chest pain, and dizziness. It's be hard for me to focus and concentrate along my work since then."
Chicken pox,"I am exhausted and have lost my appetite. I feel vomiting and can't eat anything. In addition, little red-faced spots are begin to appear on my skin and near the neck. I am really concern about my health."
peptic ulcer disease,I feature difficulty swallowing food and often get a sensation of the food getting stuck indium my throat. I have invariable belching and bloating. There is a persitent sour taste in my oral_cavity
Impetigo,I induce noticed that the sore are taking longer to heal and are to_a_greater_extent prone to infection. The sore on my face exist swollen and tender to the touch and identical uncomfortable to handle.
Dengue,"I have been feeling nauseous and have a constant urge to vomit. I get high fever and chills every night and feel terrible because of this. Also, I feel I have lost my appetite."
urinary tract infection,"I've follow experience frequent, intense, abrupt cravings to urinate. Sometimes I beget blood IN my pee, and IT feeling awful. What should I coiffure if I believe I possess an infection?"
Chicken pox,I have red spots on my arms and legs and itching them makes it difficult for me to sleep at night. I also have severe headaches and a mild fever.
diabetes,"I frequently feel the want to urinate and have these strong cravings. I get woozy and disoriented a lot. Moreover, I have lost my vision considerably"
Impetigo,I initially let rashes along my font and near my nose. merely now the rash is spreading depressed my coat_of_arms and legs.
Chicken pox,I'm worried about these red spots on my skin. It's spreading rapidly and causing a lot of problems. I also developed a mild fever and headache every night.
Acne,I've been struggling with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
Pneumonia,I'm having a hard time breathing and I feel really uncomfortable. I'm sweating a lot and there's a lot of phlegm in my throat. My chest hurts and my heart is beating fast. The mucus I'm coughing up is brownish.
Arthritis,"My muscles have been quite weak, and my neck has been really stiff. My joints have swollen, making it difficult for me to move without becoming stiff. Walking has been quite uncomfortable as well."
drug reaction,"I'm shedding hair, and the grain of my tomentum has changed significantly. My dry, itchy scalp and dandruff are becoming worse. My scramble live also becoming pretty dry."
gastroesophageal reflux disease,"I always have foul breather and amp sour taste in my mouth, and occasionally, the tingling in my throat makes it difficult to swallow meals."
drug reaction,"I suffer migraines and headaches, and I've been having trouble falling asleep. My whole body has been trembling and shivering. At times, I have dizziness."
Psoriasis,"My skin is breaking out in rashes. When iodin bread or rub the rash, information_technology frequently bleeds. in addition, I've observed short slit in my nails. There exist a obtrusive redness in my nails."
peptic ulcer disease,"I've lost a lot of stuff because of my bloody stools, including iron and bloos. Because of this, I now have anaemia and usually feel fairly weak."
Varicose Veins,"The cramps in my calves exist become more buy_at and intense, making it difficult for me to walk and do my daily activities."
allergy,"My skin is itching and swollen. Sometimes, they could flake. My rim and cheeks swelling aches adenine lot. The puffing occasionally gives me head_ache and fluid eyes."
Impetigo,"I'm running ampere high temperature. Near my nose, reddish sores represent forming. The lesions are painful, and lily-livered rust-colored liquid is oozing from them."
Psoriasis,My fingers and soles have pretty thick skin that is cracked severely. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales.
Bronchial Asthma,"I've been having eupnoeic issues, a persistent cough, and exhaustion. I've been cough up a lot of thick, mucoid sputum and have a very high fever. I'm just feeling so exhausted and commonplace from having to contend with all of this."
Dimorphic Hemorrhoids,"Constipation, discomfort with bowel motions, and anus pain have all recently been bothering me. My anus has been quite inflamed, and my stool has been extremely bloody."
Cervical spondylosis,"ace have been experiencing severe spine pain, a coughing that produces phlegm, and helplessness in my muscles. My neck also hurts and I have been opinion dizzy and unsteady on my feet."
Psoriasis,"My skin has changed from being less sensitive to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees."
Psoriasis,My skin is extremely spiritualist and quickly bother away deepen inwards temperature or humidity. My nails have developed dents on them. I am upset about this sudden change.
Migraine,"Along with recurrent headaches and blur vision, I suffer acid reflux and trouble digesting my food."
Jaundice,I've embody itchy and hurl up. I've lost weight and am too rattling exhausted. My skin has turn yellow and I have a severe temperature. My digest has also been hurting.
Dengue,I have a high fever accompanied with severe headache and body pain. I experince chills every night. There is a distinct pain behind my eyes too.
Hypertension,"When I first experienced a headache, chest pain, and lightheadedness, I was at work. Since then, information_technology has been challenging for Pine_Tree_State to focus and concentrate on my work."
Bronchial Asthma,"I've be receive breathing issues, amp tenacious cough, and exhaustion. I've been coughing upwardly antiophthalmic_factor lot of thick, mucoidal phlegm and have adenine very high fever. I'm just feeling so drained and tired from having to deal with all of this."
Bronchial Asthma,"I've receive a lot of sleepiness, vitamin_A cough that pass_up to endure away, and breathing difficulty. I've constitute cough up vitamin_A lot of thick, mucoid saliva and have a heights fever."
Acne,My skin has simply nonheritable a nasty rash. It's packed with pus-filled pimples and blackheads. My skin has been very sensitive moreover.
Impetigo,"Initially, I developed small red sores near my nose and neck. Now, I am having a high fever and the sores have become more painful and inflamed over the past few days."
Malaria,"I have a high fever, severe itching, chills, and vomiting. I also have a headache and have been perspiring a lot. Additionally hurting me have been nausea and muscle soreness."
Migraine,"I have been experiencing acidity, indigestion, headaches, and blurred and distorted vision, as well as excessive hunger, a stiff neck, depression, irritability, and visual disturbance. These symptoms have been affecting my daily life and causing me discomfort."
Alcoholic hepatitis,"Patients may experience abdominal pain or tenderness, particularly in the upper right quadrant where the liver is located. Other symptoms can include fatigue, nausea, and loss of appetite. In severe cases, alcoholic hepatitis can lead to liver failure"
gastroesophageal reflux disease,"My throat often feels like it's on fire, especially after eating. I occasionally get an aftertaste that is sour or bitter and makes me feel nauseous."
Dimorphic Hemorrhoids,"I've recently embody suffering from deadening and digestive discomfort. My anus is quite_an painful, and IT has been bleeding whenever I go. It's excruciatingly painful, and I'm quite uneasy."
gastroesophageal reflux disease,"I often wake up with a sore throat or a scratchy voice. My throat hurts constantly, and I also have poor breath. I also frequently burp."
Chicken pox,I have small lymph nodes on my arms and face. The itching is making my day very uncomfortable.
Jaundice,"I've been feel highly scratchy, sick, and worn out. indium addition, I've bewildered weight and have a temperature. My urine is dark, and my skin has turned yellow. Additionally, single have_got been experiencing stomach pain."
AIDS,"Other symptom can include recurrent infections, such vitamin_A thrush (oral candidiasis), pneumonia, and skin rashes."
allergy,"I often sneeze and accept a runny nose. My eyeball are rasping and frequently runny, and I ofttimes cough. My head hurts constantly."
Arthritis,"My muscles are quite weak, and my neck has been very stiff. My join have swollen, creating it troublesome along behalf of me to steer refer while not feeling stiff. Walking has conjointly been very uncomfortable."
Arthritis,"Recently, when I try to walk about, I have stiffness, a stiff neck, swollen joints, and muscular weakness. Walking has also been really uncomfortable."
Hypoglycemia,"It can be caused by skipping meals, excessive physical activity, or taking too much insulin or other diabetes medications."
Dimorphic Hemorrhoids,"I've been having trouble going to the restroom recently. When I try to go, it's really uncomfortable, and my anus hurts a lot. I've also had some blood in my stool, and my anus has been really uncomfortable."
allergy,"I feel queasy, sick, and wobbly. My throat is enlarged and making it difficult for me to breathe. My chest occasionally pains all through the night, and I occasionally feel ill."
Varicose Veins,unity have noticed spasm Hoosier_State my calves follow becoming more frequent and intense. IT is causing me a lot of discomforts. ane am also overweight and my legs have started to swell.
Bronchial Asthma,"I have a persistent cough and have been feeling quite fatigued. My fever is through the roof, and I'm having trouble breathing. When I cough, I also cough up a lot of mucous."
Varicose Veins,"The vena on my legs cost very noticeable and are causing me angstrom lot of discomforts. They are vain and protrude from my skin, making them visible through my clothing."
drug reaction,ace have terrible mental limpidity and find it hard to stay focused. ace regularly forget things and birth job remembering things.
Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting embody made up of small scales that flake cancelled easily when unity scratch them."
Malaria,"I've been experiencing severe trunk itchiness, chills, and vomiting. I have vitamin_A really high fever, and I've been perspiring a lot. I also feel queasy and stimulate a headache. My muscles are Indiana torturous discomfort."
Jaundice,"Strong itchiness and nausea have been bothering me. I have also lost weight and am really exhausted. I have a high fever, and my skin is becoming yellow. In addition to feeling stomach ache, my pee is black."
Malaria,"I've experienced severe itching, chills, nausea, and a high fever. Along with having a headache, I'm also perspiring a lot. I've also been bothered by nausea and muscle ache."
Fungal infection,"I suffer a lot of itching whole over my skin, and sometimes it gets really red and bumpy. There are likewise some plot_of_land that represent different colors than the rest of my skin, and sometimes I incur these little bumps that look comparable little balls. It's really annoying and itchy."
Common Cold,"I've been feeling very tired and sick. I've exist sneezing angstrom lot and I can't seem to nonplus warm. I'm so tired and my school_principal is shoot_down me. And my fever is really high, like I'm boiling."
Acne,"group_A skin skin_rash with several pus-filled pimples and blackheads has been put_out me lately. Additionally, my shin has follow scurring a lot."
Bronchial Asthma,"I've been experiencing a gamy fever, a persistent cough, and shortness of breath. I've likewise been create a peck of thick, mucoid sputum, and I'm notion real tired and weak."
Dengue,I have been experiencing severe joint pain that is making my day very difficult. I feel like vomiting all the time and have a mild headache too.
Impetigo,The sores around my nose have become crusted over and are difficult to touch. A yellow-rust coloured ooze used to come out of the sores. It is taking much more time to handle.
Typhoid,"I've also been experiencing some diarrhea and constipation, which has been really worrying. It feels like a sharp, stabbing pain in my belly area. I feel tired all the time."
Hypertension,"Along with type_A head_ache and chest pain, I also experienced fainting and balance issues. Additionally, I've discovered that it's severely for me to focus."
urinary tract infection,"iodine get pain inch my depress abdomen, and fuck_off antiophthalmic_factor buring sensation Hoosier_State my pee. I also have been catch low temperatures since I started to get_under_one's_skin these other symptoms. i have been sapless because of this"
Dimorphic Hemorrhoids,"I've been having a lot of trouble going to the bathroom lately, and it's been really painful. I've also noticed that my stool has been bloody and my anus has been really irritated."
Jaundice,"I have been experiencing intense itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I have been having abdominal pain as well."
urinary tract infection,"I've exist see really low moods and selfsame unsound urine odour. iodine can't seem to celebrate my urine back, and the area penny-pinching my kidney hurts a lot. I frequently experience these irrational_number cravings."
Common Cold,"1 have red, watery eyes all the time. My venous_sinus have also embody bothered aside a constant tightness. My breathing experience been quite_an tough, and I've been feeling worn out all the time. My lymph nodes are irritated, and iodin likewise have a lot of throat mucous."
Dengue,"I have been experiencing severe joint pain that makes it difficult for me to move and perform my daily activities. Also, I have lost my apetite because of which I feel weak."
Dengue,"I have been experiencing chills and shivering, despite being in a warm environment. My back pains all the time and there are red spots on my arms."
Dengue,I throw been experiencing spartan joint painfulness that is pee-pee my day very difficult. one feel like vomiting completely the clip and induce a mild headache too.
Malaria,"I've had adenine high fever, chills, and intense itching. In addition, atomic_number_53 give_birth a headache and Am perspiring antiophthalmic_factor lot. I've been suffering from nausea as well as muscle ache."
Hypertension,"I've been go_through dizziness and shakiness, atomic_number_33 good axerophthol a loss in my attention span and ability to concentrate."
gastroesophageal reflux disease,"I feel as though acid or food is backing up into my throat. My chest hurts, and lying down makes it worse. After eating, I frequently have heartburn or indigestion and throw up."
Pneumonia,I can't seem to catch my breath and I'm sweating a lot. I feel really sick and have a lot of phlegm in my throat. My chest hurts and my heart is racing. The mucus I'm coughing up is yellowish.
diabetes,"My body is shaking and trembling. My senses of taste and smell have gotten weaker, and I feel exhausted. I occasionally have palpitations or a rapid pulse."
Bronchial Asthma,"I've been struggling with difficulty breathing, a constant cough, and fatigue. My fever is extremely high, and I've been coughing up a lot of thick, mucoid sputum. It's been so hard to deal with all of this, and I'm just feeling so drained and worn out"
Chicken pox,"I have swollen lymph nodes and red spots all over my body, and they are causing discomfort. I also have a mild fever and feel tired most of the time."
Dimorphic Hemorrhoids,"My bowel motions are giving me a lot of problems right now. Going is difficult, and going hurts when I do it. When I go, my anus bleeds and is really uncomfortable. I'm in a lot of discomfort and it hurts extremely bad."
Migraine,"i experience been suffering from acid reflux, indigestion, and regular headaches, as intimately equally misrepresented vision, undue hunger, a sore neck, depression, irritability, and visual disturbance."
drug reaction,"I've noticed a difference in my monthly cycle and an unexpected vaginal discharge. I become irritable every now and again, and my moods swing a lot."
peptic ulcer disease,"I have trouble falling or staying asleep because of stomach ache. After using the restroom, I feel drained and lose my appetite. I constantly feel really anxious."
Typhoid,"I have constipation and belly pain, and it's comprise really uncomfortable. The stomach pain_in_the_neck give been pose worse and equal starting to affect my daily life. Moreover, I get chills every night, followed past angstrom modest fever."
gastroesophageal reflux disease,"I have heartburn and indigestion. I regularly throw up everything I eat, and swallowing is difficult for me since food gets stuck in my throat. I'm experiencing pain in my upper abdomen."
drug reaction,"I no longer want to have sex, and it's difficult for me to do so. I regularly have brain fog and a sense of confusion."
Varicose Veins,"I am experiencing too many cramps in the last couple of days. iodin think something is non right. iodine believe there comprise a small contuse along my calves, but I am not sure virtually it."
Impetigo,"I developed a minor rash near my nose a few days ago. Now, the rash is accompanied by a burning sensation and redness of the skin. I feel it is some kind of an infection."
Bronchial Asthma,"feeling extremely exhausted and have had this persistent cough. It's been hard for me to catch my breath, and my fever is very high. I've also been producing a lot of mucus when I cough"
Malaria,"unattackable itchiness, chills, nausea, and type_A high-pitched pyrexia are all part of my current condition. Besides cause a headache, I've been perspiring a lot. I've live uncomfortable from sickness and muscle ache, too."
Dimorphic Hemorrhoids,I've been having a really hard time going to the bathroom lately. It's really painful when I try to go and my anus hurts a lot. There's also been some blood in my stool and my anus has been really itchy.
Impetigo,The sores around my nose receive become encrusted terminated and are hard to touch. A yellow-rust coloured ooze used to come proscribed of the sores. It is taking practically more clock_time to handle.
Acne,I've been having a very unhealthy rash on my skin latterly. It's filled with pus-filled pimples and blackheads. My skin has additionally been scurring heaps.
urinary tract infection,"I get blood in my pee sometimes and sometimes get nauseous whie peeing. I also have a bad smell in my pee and sometimes get high temperatures at nights, help me"
allergy,"I have nasal congestion and a blocked nose. On occasion, during the night, I have stiffness and chest pain. I've also lost my senses of taste and smell."
Migraine,"I have been experiencing acid ebb and trouble digesting my food, along with regular cephalalgia and impaired visual_sense"
Arthritis,I've been flavour truly delicate in my muscularity recently and my neck has been truly solid. tumesce joints form it hard for Pine_Tree_State to move around. take_the_air has also been difficult.
Fungal infection,"Recently, I've been spoil myself a lot, and my skin is covered with rashy patches. Furthermore, there are a few regions where my skin doesn't seem to be its usual tone, and I've experienced a few swelling that are exceptionally painful."
Varicose Veins,Long durations of standing or walking have caused severe discomfort in my legs. It's a burning ache that gets worse the longer I'm on my feet.
Migraine,"I've been grumpy and dark lately, and I've likewise noticed a commute in my vision."
Typhoid,"I've been experiencing high fever, especially at night. It's equal really uncomfortable. in_that_location comprise vitamin_A meek headache along with constipation and diarrhea."
Hypertension,"atomic_number_53 have been experiencing chest pain, dizziness, and a headache that tone like amp continual force in my forehead."
Bronchial Asthma,"I've felt terribly weak and drained, and I've also had a cough that that won't go away. My fever has been exceptionally high, and it has been challenging to try to catch my breath. I've been creating a lot of mucous when I cough."
Pneumonia,"I'm saturated with sweat and struggling to breathe. My throat is blocked with mucous, and I'm uncomfortable. My heart is racing, and my chest aches. I'm coughing up a darkish stringy mucous."
Impetigo,"A few days ago, I experienced a tiny rash around my nose. The rash is now accompanied by a burning feeling and skin redness and discharge of fluid. I believe it is some sort of infection."
drug reaction,I have rashes along my skin and these flake off from time to time. This leaves me prone to infection. My thumb start squeeze and sometimes I see tremors.
Malaria,"I've had a high temperature, vomiting, chills, and intense itching. I also have a headache and am perspiring a lot. My discomfort has also been brought on by nausea and muscle ache."
Typhoid,"The bacteria multiply in the gut and can spread to the bloodstream, leading to serious ramification if left untreated."
Cervical spondylosis,"I've had game pain, antiophthalmic_factor persistent cough, and weakness inward my subdivision and legs. My neck hurts, and I've been feeling off-balance and woozy."
Pneumonia,"With a high temperature, shortness of breath, sweating, chills, and acute exhaustion, I've been touch rather poorly. I've been cough up a lot of brownish phlegm and my pulse rate is racing."
Malaria,"I have a high fever, chills, and stark itching. In addition, I have a headache and have been sweat a lot. I've also been bothered by nausea and muscular ache."
Jaundice,"I've been feeling extremely scratchy, sick, and worn out. In addition, I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. Additionally, I have been experiencing stomach pain."
Acne,"I woke up this morning to find that I have a terrible rash all over my body. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been changingÂ a lot."
Psoriasis,"My skin has amp silvery film, particularly on my back, blazonry and scalp. This dusting is composed of tiny scales that easy peel off when scratched."
allergy,"My skin is irritated and inflamed. Sometimes, they can flake. My lips and cheeks expand, and it is really unpleasant. Because of the puffing, I occasionally have headaches and wet eyes."
Cervical spondylosis,"My muscles have been quite weak, and I've been coughing up phlegm along with significant back discomfort. In addition to feeling weak and disoriented, my neck has been hurting."
Jaundice,"I have been having severe itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I am also experiencing abdominal pain."
Dimorphic Hemorrhoids,"My bowel motions have been really difficult for me recently. Going is difficult, and it aches when I do. When I go, my anus bleeds and is really uncomfortable. I'm in a lot of discomfort and it hurts extremely bad."
Hypertension,"In addition to a headÂ pain, pectus pain, instability, and balance issues, I've already been look unwell. I also suppose I'm having issues focusing."
Bronchial Asthma,"I've been having breathing issues, a persistent cough, and exhaustion. I've been coughing up a lot of thick, mucoid sputum and have a very high fever. I'm just feeling so exhausted and tired from having to cope with all of this."
Impetigo,"I'm running a high temperature. I've developed a rash on my face, neck, and arms. The rash consists of painful red lesions. My wellness is a interest for me."
Fungal infection,"I've been rather itchy recently, and I have rashy blotches all over my skin. There are also certain regions that are more dark in color than the rest of my skin, and I've got some painful lumps."
Dimorphic Hemorrhoids,Lately I've been experiencing constipation and pain during bowel movements. My anus is really sore and it's been bleeding when I go. It's really painful and I'm really uncomfortable.
Impetigo,"A few day ago, i see antiophthalmic_factor lilliputian rash around my nose. The heady be at_present attended past a burning feeling and pare red and discharge of fluid. I believe it be about sort of infection."
Arthritis,"My neck has been so tense, and I've been feeling like my muscles are incredibly weak. I have trouble moving since my joints have enlarged. To walk has been quite painful."
Chicken pox,There are small loss spots entirely over my body. The spots personify fretful and uncomfortable. I also have a mild febrility and headache.
diabetes,"I experience skin irritations and rashes, especially in my skin's creases. whatsoever bruise and injure one wealthy_person on my skin also bring_around quite_a slowly."
Bronchial Asthma,"In addition to sleepiness, I've been having trouble breathing due to a persistent cough. I've been coughing up a lot of thick, mucoid sputum and have a high fever."
Dimorphic Hemorrhoids,"Constipation and soreness with bowel motions have been bothering me lately. When I go, my anus bleeds and is really uncomfortable. I'm in a lot of discomfort and it hurts extremely bad."
Chicken pox,I consume seen rashes along my blazonry and neck_opening and it itches if I scratch them. I've as_well make a in_high_spirits fever for a few days. I have No musical_theme what is causing it. The itching personify causing Maine a lot of discomforts.
peptic ulcer disease,"iodine have a stomach ache that keeps Maine from dropping or staying asleep. After victimization the restroom, single feel worn out and fall_behind interest inwards food. I'm constantly reasonably anxious."
gastroesophageal reflux disease,"I have indigestion and heartburn. I frequently vomit everything I eat, and I have trouble swallowing food because it gets caught in my throat. My upper abdomen is bothering me."
Cervical spondylosis,"Back pain, a productive cough, and limb weakness have been bothering me. I have balance and dizzy concerns, and my neck hurts."
Psoriasis,"I've observed that my skin constitute Thomas_More medium now than it practice to be. My hide has a silvery film, especially along my backward and elbows."
Hyperthyroidism,"Symptoms include unexplained weight loss, despite increased appetite, and difficulty sleeping.   Patients may experience nervousness, irritability, and mood swings."
Varicose Veins,place_upright or walk-to for long flow of metre suffer been causing a passel of pain in my legs. It sense like a cramp and becomes worse the longer unity am along my feet.
Bronchial Asthma,"I've been having breathing issues, a persistent cough, and exhaustion. I've been coughing up a lot of thick, mucoid sputum and have a very high fever. I'm just feeling so drained and tired from having to deal with all of this."
Arthritis,"My muscles have been feeling really weak, and my neck has been extremely tight. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk."
Acne,"When I awoke this morning, I realised that I had a severe rash all over my body. There are many pus-filled pimples and blackheads all over the place. My skin has also been scurringÂ a lot."
drug reaction,I am experiencing changes in my menstrual cycle and unexpected vaginal discharge. I often get mood swings and feel agitated from time to time
Typhoid,"I've been throw looseness and loose, watery stools many times a day. I've lost my appetite and am invariably sick. I'm as_well develop a meek fever. Also, my abdominal part pains a lot. unity don't recognize what the reason behind all of these is."
